epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.1972,4.65392,3.47889,3.23221,0.41126,0.16781,0.11981,0.03494,2.75471,2.32057,2.14486,0.00331811,0.00331811,0.00331811
2,159.961,2.49855,1.78547,1.7999,0.76336,0.16641,0.18988,0.05935,2.59056,1.91476,1.85548,0.00662511,0.00662511,0.00662511
3,232.665,2.12124,1.54336,1.50263,0.49513,0.46891,0.4626,0.20023,1.81392,1.31138,1.43242,0.0099057,0.0099057,0.0099057
4,304.41,1.89472,1.33623,1.34962,0.65965,0.64317,0.67982,0.34213,1.5247,1.0772,1.26749,0.0098812,0.0098812,0.0098812
5,375.645,1.73741,1.15339,1.26912,0.68889,0.71237,0.75085,0.40009,1.44222,0.95379,1.22452,0.0098416,0.0098416,0.0098416
6,446.961,1.62713,1.01904,1.21494,0.78386,0.74948,0.81813,0.4462,1.38226,0.88773,1.18981,0.009802,0.009802,0.009802
7,518.922,1.55122,0.94083,1.18283,0.78367,0.78677,0.8362,0.4571,1.35198,0.82905,1.16965,0.0097624,0.0097624,0.0097624
8,587.022,1.49406,0.88096,1.15925,0.82421,0.77823,0.85374,0.48792,1.30937,0.77173,1.16035,0.0097228,0.0097228,0.0097228
9,654.539,1.45996,0.83461,1.14142,0.84777,0.80936,0.87539,0.51033,1.28312,0.72272,1.13656,0.0096832,0.0096832,0.0096832
10,722.44,1.42889,0.79905,1.13193,0.84612,0.82445,0.88627,0.52332,1.25129,0.70754,1.12461,0.0096436,0.0096436,0.0096436
11,788.141,1.39278,0.7688,1.11465,0.82639,0.83718,0.88092,0.51515,1.2543,0.69139,1.12626,0.009604,0.009604,0.009604
12,852.529,1.37651,0.75098,1.11064,0.83973,0.83783,0.88864,0.54091,1.23121,0.67416,1.11988,0.0095644,0.0095644,0.0095644
13,917.119,1.36019,0.72929,1.09742,0.86564,0.85137,0.90778,0.55308,1.21406,0.65124,1.10956,0.0095248,0.0095248,0.0095248
14,983.525,1.33439,0.70949,1.0902,0.86685,0.84003,0.90703,0.54974,1.22513,0.64476,1.11208,0.0094852,0.0094852,0.0094852
15,1048.79,1.31816,0.69503,1.0826,0.85427,0.85705,0.90633,0.54324,1.23643,0.64519,1.11419,0.0094456,0.0094456,0.0094456
16,1113.07,1.30738,0.68564,1.07986,0.86647,0.85674,0.91332,0.55412,1.21883,0.62848,1.10555,0.009406,0.009406,0.009406
17,1177.85,1.29329,0.6719,1.06994,0.87072,0.87207,0.91879,0.55692,1.2039,0.62451,1.10515,0.0093664,0.0093664,0.0093664
18,1243.06,1.26638,0.65437,1.06497,0.87257,0.85827,0.9202,0.57009,1.17832,0.60251,1.09227,0.0093268,0.0093268,0.0093268
19,1308.76,1.2737,0.64576,1.06657,0.88338,0.85788,0.91715,0.5597,1.21214,0.60393,1.10185,0.0092872,0.0092872,0.0092872
20,1373.47,1.27127,0.63922,1.06042,0.88156,0.86314,0.92135,0.56389,1.19131,0.60438,1.09525,0.0092476,0.0092476,0.0092476
21,1437.77,1.25342,0.6318,1.05625,0.88652,0.87745,0.92496,0.57858,1.17336,0.58257,1.08904,0.009208,0.009208,0.009208
